"";"raster_id";"shape_index";"FWIclass";"julday";"per_fc";"yearf";"feco";"fgener";"fresp";"area";"perimeter";"ftype"
"169";"NIP20_2005_1521_rbr";4,291196258;"Extreme";170;80,1907394444145;2005;"Lake Nipigon";"LTG";"FUL";134921260,9;199378,6102;"IFR"
"170";"NIP52_2005_1522_rbr";1,634626017;"High";205;86,2112586970272;2005;"Lake Nipigon";"LTG";"FUL";1327963,508;7534,795481;"IFR"
"171";"THU30_2005_1525_rbr";3,595685283;"High";204;91,5749525616699;2005;"Lake Nipigon";"LTG";"FUL";4245078,379;29633,60724;"IFR"
"172";"THU57_2005_1526_rbr";2,447225767;"High";215;71,3613440845715;2005;"Lake Nipigon";"LTG";"FUL";60711027,06;76272,47128;"IFR"
"173";"NIP104_2005_1536_rbr";1,239043722;"Low";220;79,4835007173602;2005;"Big Trout Lake";"LTG";"MON";557976,0513;3702,153335;"IFR"
"174";"NIP40_2007_1564_rbr";0,887354536;"Moderate";163;47,0588235294118;2007;"Big Trout Lake";"LTG";"FUL";541675,5413;2612,322421;"IFR"
"175";"DRY8_2007_1565_rbr";1,244412266;"Extreme";119;86,624203821656;2007;"Lake Wabigoon";"RWY";"FUL";396802,4017;3135,533323;"IFR"
"176";"KEN41_2007_1566_rbr";2,741966971;"High";214;99,9462076385153;2007;"Lake Wabigoon";"REC";"FUL";1643543,452;14060,88984;"IFR"
"177";"NIP262_2006_1567_rbr";1,180807373;"High";250;84,1170323928944;2006;"Lake Nipigon";"LTG";"FUL";801344,855;4228,134305;"IFR"
"178";"THU113_2006_1568_rbr";1,906301958;"Extreme";250;67,7007299270073;2006;"Lake Nipigon";"LTG";"FUL";467387,6625;5213,030998;"IFR"
"179";"NIP406_2006_1569_rbr";1,585044794;"High";254;16,7254085229094;2006;"Lake Nipigon";"LTG";"FUL";5150665,392;14389,08573;"IFR"
"180";"NIP409_2006_1570_rbr";1,41619095;"Extreme";255;18,3890398015826;2006;"Lake Nipigon";"LTG";"MON";7081489,432;15074,54151;"IFR"
"181";"NIP238_2006_1571_rbr";1,50435439;"High";250;99,9485596707819;2006;"Lake Nipigon";"LTG";"MON";1625824,803;7672,678864;"IFR"
"182";"NIP426_2006_1572_rbr";1,245858808;"High";250;99,9301187980433;2006;"Lake Nipigon";"LTG";"MON";1207363,877;5475,804158;"IFR"
"183";"NIP322_2006_1573_rbr";1,173752724;"Moderate";251;65,8333333333333;2006;"Lake Nipigon";"LTG";"FUL";705005,2214;3942,146604;"IFR"
"184";"NIP365_2006_1574_rbr";1,464359047;"High";250;93,7430908688924;2006;"Lake Nipigon";"LTG";"MOD";7590028,294;16137,2402;"IFR"
"185";"NIP391_2006_1575_rbr";1,566226943;"Low";254;99,0704772475028;2006;"Lake Nipigon";"LTG";"FUL";6001179,527;15347,33565;"IFR"
"186";"NIP70_2006_1583_rbr";2,081485748;"High";194;81,7198628330256;2006;"Big Trout Lake";"LTG";"FUL";6159321,912;20663,30967;"IFR"
"187";"THU36_2007_1584_rbr";0,887354535;"High";128;76,6730401529637;2007;"Lake Nipigon";"RWY";"FUL";439005,5842;2351,7556;"IFR"
"188";"SLK97_2006_1591_rbr";0,887354534;"High";242;89,2929292929293;2006;"Lake Nipigon";"IDF";"FUL";483296,2219;2467,538082;"IFR"
"189";"NIP151_2006_1592_rbr";0,887354527;"High";218;84,3861740166865;2006;"Lake Nipigon";"LTG";"FUL";680989,0676;2929,053003;"IFR"
"190";"NIP327_2006_1596_rbr";1,922881407;"Moderate";251;59,2475247524753;2006;"Lake Nipigon";"LTG";"FUL";4173578,892;15713,27839;"IFR"
"191";"THU246_2006_1597_rbr";1,90068463;"High";256;98,7594762232942;2006;"Lake Nipigon";"LTG";"MON";1240358,319;8467,274437;"IFR"
"192";"THU187_2006_1598_rbr";1,090031754;"Low";252;100;2006;"Lake Nipigon";"LTG";"FUL";345549,2732;2563,032617;"IFR"
"193";"NIP440_2006_1601_rbr";0,903596773;"High";257;33,1649831649832;2006;"Lake Nipigon";"LTG";"MON";488274,3748;2525,611979;"IFR"
"194";"NIP410_2006_1602_rbr";0,982997124;"High";250;80,5437746137534;2006;"Lake Nipigon";"LTG";"MON";10976681,27;13027,10056;"IFR"
"195";"NIP257_2006_1604_rbr";1,567307698;"Extreme";250;96,7056323060574;2006;"Lake Nipigon";"LTG";"FUL";786930,5859;5561,378719;"IFR"
"196";"NIP245_2006_1605_rbr";1,619069161;"Extreme";250;97,0731707317073;2006;"Lake Nipigon";"LTG";"FUL";1882066,298;8884,7017;"IFR"
